variable,group,value,id
Census Tract 6505,15min,0.308076,17031650500
Census Tract 6603.01,15min,0.362426,17031660301
Census Tract 6603.02,15min,0.782071,17031660302
Census Tract 6604,15min,0.65864,17031660400
Census Tract 6605,15min,0.183108,17031660500
Census Tract 6606,15min,0.424346,17031660600
Census Tract 6607,15min,0.259699,17031660700
Census Tract 6608,15min,0.126779,17031660800
Census Tract 6609,15min,0.113741,17031660900
Census Tract 6610,15min,0.187637,17031661000
Census Tract 6611,15min,0.183326,17031661100
Census Tract 6701,15min,0.930602,17031670100
Census Tract 6702,15min,1.25062,17031670200
Census Tract 6703,15min,0.878853,17031670300
Census Tract 6704,15min,1.14467,17031670400
Census Tract 6705,15min,1.22281,17031670500
Census Tract 6706,15min,1.04134,17031670600
Census Tract 6707,15min,0.376535,17031670700
Census Tract 6708,15min,0.590366,17031670800
Census Tract 6709,15min,0.452334,17031670900
Census Tract 6711,15min,0.533574,17031671100
Census Tract 6712,15min,0.812034,17031671200
Census Tract 6713,15min,0.385851,17031671300
Census Tract 6714,15min,0.3759,17031671400
Census Tract 6715,15min,0.317937,17031671500
Census Tract 6716,15min,1.11879,17031671600
Census Tract 6718,15min,1.06028,17031671800
Census Tract 6719,15min,1.14334,17031671900
Census Tract 6720,15min,0.361225,17031672000
Census Tract 6805,15min,0.235748,17031680500
Census Tract 6806,15min,0.168253,17031680600
Census Tract 6809,15min,0.166691,17031680900
Census Tract 6810,15min,0.104459,17031681000
